400DN00309SS, 400CN0030DSS,    17,    5, 400DN0030DSS,  3089,        M,   17,
400DN0030ANE, 400CN0260DNC,    6,    6, 400DN0030DNE,  3363,        M,   6,
400DN0030ANS, 400CN0030DSS,    6,    6, 400DN0030DNS,  3079,        M,   6,
400DN0030ASS, 400CN0030DSS,    18,    6, 400DN0030DSS,  3091,        M,   18,
400DN0030BNE, 400CN0260DNC,    12,    6, 400DN0030DNE,  3364,        M,   12,
400DN0030BNS, 400CN0030DSS,    12,    6, 400DN0030DNS,  3080,        M,   12,
400DN0030BSS, 400CN0030DSS,    24,    6, 400DN0030DSS,  3092,        M,   24,
400DN00400NE, 400CN0280DSC,    11,    5, 400DN0040DNE,  3396,        M,   11,
400DN00400NS, 400CN0050DNS,    11,    5, 400DN0040DNS,  3102,        M,   11,
400DN00400SE, 400CN0280DSC,    23,    5, 400DN0040DSE,  3406,        M,   23,
400DN00400SS, 400CN0050DNS,    23,    5, 400DN0040DSS,  3114,        M,   23,
400DN00401ER, 400CN0130DNS,    25,    1, 400DN0040DER,  3894,        M,   25,
400DN00401NC, 400CN0260DNC,    25,    1, 400DN0040DNC,  3375,        M,   25,
400DN00401NE, 400CN0280DSC,    1,    1, 400DN0040DNE,  3387,        M,   1,
400DN00401NS, 400CN0050DNS,    1,    1, 400DN0040DNS,  3093,        M,   1,
400DN00401SC, 400CN0260DNC,    29,    1, 400DN0040DSC,  3381,        M,   29,
400DN00401SE, 400CN0280DSC,    13,    1, 400DN0040DSE,  3397,        M,   13,
400DN00401SR, 400CN0140DSR,    25,    1, 400DN0040DSR,  3895,        M,   25,
400DN00401SS, 400CN0050DNS,    13,    1, 400DN0040DSS,  3105,        M,   13,
400DN00402NC, 400CN0260DNC,    35,    1, 400DN0040DNC,  3376,        M,   35,
400DN00402NE, 400CN0280DSC,    7,    1, 400DN0040DNE,  3388,        M,   7,
400DN00402NS, 400CN0050DNS,    7,    1, 400DN0040DNS,  3094,        M,   7,
400DN00402SC, 400CN0260DNC,    39,    1, 400DN0040DSC,  3382,        M,   39,
400DN00402SE, 400CN0280DSC,    19,    1, 400DN0040DSE,  3398,        M,   19,
400DN00402SS, 400CN0050DNS,    19,    1, 400DN0040DSS,  3106,        M,   19,
400DN00403NC, 400CN0260DNC,    26,    2, 400DN0040DNC,  3377,        M,   26,
400DN00403NE, 400CN0280DSC,    2,    2, 400DN0040DNE,  3389,        M,   2,
400DN00403NS, 400CN0050DNS,    2,    2, 400DN0040DNS,  3095,        M,   2,
400DN00403SC, 400CN0260DNC,    30,    2, 400DN0040DSC,  3383,        M,   30,
400DN00403SE, 400CN0280DSC,    14,    2, 400DN0040DSE,  3399,        M,   14,
400DN00403SS, 400CN0050DNS,    14,    2, 400DN0040DSS,  3107,        M,   14,
400DN00404NC, 400CN0260DNC,    36,    2, 400DN0040DNC,  3378,        M,   36,
400DN00404NE, 400CN0280DSC,    8,    2, 400DN0040DNE,  3390,        M,   8,
400DN00404NS, 400CN0050DNS,    8,    2, 400DN0040DNS,  3096,        M,   8,
400DN00404SC, 400CN0260DNC,    40,    2, 400DN0040DSC,  3384,        M,   40,
400DN00404SE, 400CN0280DSC,    20,    2, 400DN0040DSE,  3400,        M,   20,
400DN00404SS, 400CN0050DNS,    20,    2, 400DN0040DSS,  3108,        M,   20,
400DN00405NC, 400CN0260DNC,    27,    3, 400DN0040DNC,  3379,        M,   27,
400DN00405NE, 400CN0280DSC,    3,    3, 400DN0040DNE,  3391,        M,   3,
400DN00405NS, 400CN0050DNS,    3,    3, 400DN0040DNS,  3097,        M,   3,
400DN00405SC, 400CN0260DNC,    31,    3, 400DN0040DSC,  3385,        M,   31,
400DN00405SE, 400CN0280DSC,    15,    3, 400DN0040DSE,  3401,        M,   15,
400DN00405SS, 400CN0050DNS,    15,    3, 400DN0040DSS,  3109,        M,   15,
400DN00406NC, 400CN0260DNC,    37,    3, 400DN0040DNC,  3380,        M,   37,
400DN00406NE, 400CN0280DSC,    9,    3, 400DN0040DNE,  3392,        M,   9,
400DN00406NS, 400CN0050DNS,    9,    3, 400DN0040DNS,  3098,        M,   9,
400DN00406SC, 400CN0260DNC,    41,    3, 400DN0040DSC,  3386,        M,   41,
400DN00406SE, 400CN0280DSC,    21,    3, 400DN0040DSE,  3402,        M,   21,
400DN00406SS, 400CN0050DNS,    21,    3, 400DN0040DSS,  3110,        M,   21,
400DN00407NE, 400CN0280DSC,    4,    4, 400DN0040DNE,  3393,        M,   4,
400DN00407NS, 400CN0050DNS,    4,    4, 400DN0040DNS,  3099,        M,   4,
400DN00407SE, 400CN0280DSC,    16,    4, 400DN0040DSE,  3403,        M,   16,
400DN00407SS, 400CN0050DNS,    16,    4, 400DN0040DSS,  3111,        M,   16,
400DN00408NE, 400CN0280DSC,    10,    4, 400DN0040DNE,  3394,        M,   10,
400DN00408NS, 400CN0050DNS,    10,    4, 400DN0040DNS,  3100,        M,   10,
400DN00408SE, 400CN0280DSC,    22,    4, 400DN0040DSE,  3404,        M,   22,
400DN00408SS, 400CN0050DNS,    22,    4, 400DN0040DSS,  3112,        M,   22,
400DN00409NE, 400CN0280DSC,    5,    5, 400DN0040DNE,  3395,        M,   5,
400DN00409NS, 400CN0050DNS,    5,    5, 400DN0040DNS,  3101,        M,   5,
400DN00409SE, 400CN0280DSC,    17,    5, 400DN0040DSE,  3405,        M,   17,
400DN00409SS, 400CN0050DNS,    17,    5, 400DN0040DSS,  3113,        M,   17,
400DN0040ANS, 400CN0050DNS,    6,    6, 400DN0040DNS,  3103,        M,   6,
400DN0040ASS, 400CN0050DNS,    18,    6, 400DN0040DSS,  3115,        M,   18,
400DN0040BNS, 400CN0050DNS,    12,    6, 400DN0040DNS,  3104,        M,   12,
400DN0040BSS, 400CN0050DNS,    24,    6, 400DN0040DSS,  3116,        M,   24,
400DN00500NS, 400CN0060GNS,    11,    5, 400DN0050DNS,  3126,        M,   11,
